,Home,winningTeam,winningScore,losingTeam,losingScore,Pace_Home,Pace_AWAY,FG_PpercentHome,FG_PpercentAWAY,TOV_Home,TOV_AWAY,ORB_Home,ORB_AWAY,FT_Rate_Home,FT_Rate_AWAY,Off_Rat_Home,Off_Rat_AWAY,date
0,Atlanta,Brooklyn,145,Atlanta,141,106.4,106.4,.566,.635,9.5,6.8,35.4,19.6,.293,.180,132.5,136.2,2020-12-30
0,Charlotte,Charlotte,118,Dallas,99,100.6,100.6,.601,.460,19.8,12.1,31.6,25.5,.202,.218,117.2,98.4,2020-12-30
0,Portland,LA Clippers,128,Portland,105,101.3,101.3,.500,.589,15.7,8.7,12.2,23.4,.382,.168,103.6,126.3,2020-12-30
0,Milwaukee,Miami,119,Milwaukee,108,103.3,103.3,.471,.579,10.8,18.8,27.6,24.4,.118,.293,104.6,115.2,2020-12-30
0,LA Lakers,LA Lakers,121,San Antonio,107,99.4,99.4,.646,.517,15.8,9.3,17.9,14.9,.183,.195,121.7,107.6,2020-12-30
0,Sacramento,Houston,122,Sacramento,119,104.2,104.2,.526,.599,12.3,15.7,28.6,24.4,.188,.221,114.3,117.1,2020-12-31
0,Cleveland,Indiana,119,Cleveland,99,99.1,99.1,.524,.575,16.3,12.5,23.9,22.0,.159,.218,99.9,120.1,2020-12-31
0,New Orleans,New Orleans,113,Oklahoma City,80,97.1,97.1,.555,.469,11.6,18.0,29.8,13.7,.132,.063,116.3,82.4,2020-12-31
0,Philadelphia,Philadelphia,116,Orlando,92,103.0,103.0,.566,.384,12.5,9.5,15.6,17.5,.143,.200,112.7,89.3,2020-12-31
0,New York,Toronto,100,New York,83,99.2,99.2,.381,.512,13.4,14.8,17.0,18.8,.182,.181,83.7,100.8,2020-12-31
0,Phoenix,Phoenix,106,Utah,95,95.3,95.3,.589,.488,14.5,12.3,12.2,21.7,.083,.155,111.2,99.7,2020-12-31
0,Chicago,Chicago,133,Washington,130,105.6,105.6,.620,.583,12.7,12.1,24.3,20.5,.207,.381,125.9,123.1,2020-12-31
0,Atlanta,Atlanta,114,Brooklyn,96,97.3,97.3,.548,.448,8.3,13.5,22.2,20.8,.129,.221,117.2,98.7,2021-01-01
